"chain","place","scale","condition"
2,4,1.00111894919656,"Smaller"
2,5,1.0255529757413,"Smaller"
2,6,0.958790372443922,"Smaller"
2,7,0.967180217396129,"Smaller"
2,8,0.890521988377427,"Smaller"
2,9,0.847049248435281,"Smaller"
2,10,0.850743995897698,"Smaller"
3,1,0.964989958792022,"Smaller"
3,2,0.996467952843868,"Smaller"
3,3,1.06643361409505,"Smaller"
3,4,0.998179382324219,"Smaller"
3,5,1.05207120675752,"Smaller"
3,6,1.06384803078391,"Smaller"
3,7,1.05651397057736,"Smaller"
3,8,1.03382966105143,"Smaller"
3,9,0.994979789040305,"Smaller"
3,10,0.95821494362571,"Smaller"
4,1,1.03432129183683,"Smaller"
4,2,1.03308939615885,"Smaller"
4,3,1.03048842736446,"Smaller"
4,4,1.07907695793383,"Smaller"
4,5,1.04069898570668,"Smaller"
4,6,1.03484040508848,"Smaller"
4,7,1.03225141583067,"Smaller"
4,8,1.01949097789418,"Smaller"
4,9,0.99645644309304,"Smaller"
4,10,0.995590862852154,"Smaller"
5,1,1.00389597020005,"Smaller"
5,2,1.03363329060872,"Smaller"
5,3,0.932629707105232,"Smaller"
5,4,0.887737568248402,"Smaller"
5,5,0.915218977494673,"Smaller"
5,6,0.883711915449663,"Smaller"
5,7,0.902923979788116,"Smaller"
5,8,0.919528674501361,"Smaller"
5,9,0.884367853800456,"Smaller"
5,10,0.824908128680605,"Smaller"
6,1,0.991549883293383,"Smaller"
6,2,1.00257998287317,"Smaller"
6,3,0.963844738584576,"Smaller"
6,4,0.954531882083777,"Smaller"
6,5,0.884840516986269,"Smaller"
6,6,0.868377697568951,"Smaller"
6,7,0.8593986825654,"Smaller"
6,8,0.845253903475675,"Smaller"
6,9,0.799507870298444,"Smaller"
6,10,0.862050388220585,"Smaller"
7,1,1.03932709387577,"Smaller"
7,2,0.988408308549361,"Smaller"
7,3,1.00367963386304,"Smaller"
7,4,0.884898359356505,"Smaller"
7,5,0.928645747791637,"Smaller"
7,6,0.928948935768821,"Smaller"
7,7,0.928821682554303,"Smaller"
7,8,0.898043316927823,"Smaller"
7,9,0.91960971254291,"Smaller"
7,10,0.920930162834399,"Smaller"
8,1,0.988010400020715,"Smaller"
8,2,0.996553806189335,"Smaller"
8,3,1.03400101540305,"Smaller"
8,4,1.07371928636955,"Smaller"
8,5,1.06886921830611,"Smaller"
8,6,1.09395847852302,"Smaller"
8,7,1.11203606900302,"Smaller"
8,8,1.10370019068862,"Smaller"
8,9,1.15381023984967,"Smaller"
8,10,1.18244004035719,"Smaller"
9,1,0.959803465409712,"Smaller"
9,2,0.994103990959399,"Smaller"
9,3,1.0129216114391,"Smaller"
9,4,0.985320994059245,"Smaller"
9,5,0.958314714373964,"Smaller"
9,6,0.961129788023053,"Smaller"
9,7,1.01340243715228,"Smaller"
9,8,1.03424448186701,"Smaller"
9,9,1.07442032415217,"Smaller"
9,10,1.12353842070608,"Smaller"
10,1,1.0063673955744,"Smaller"
10,2,0.903933725530451,"Smaller"
10,3,0.89808254403779,"Smaller"
10,4,0.893241754242868,"Smaller"
10,5,0.888963239265211,"Smaller"
10,6,0.977966498172644,"Smaller"
10,7,0.963611724853516,"Smaller"
10,8,1.00986025261156,"Smaller"
10,9,1.03085955810547,"Smaller"
10,10,1.00977909712358,"Smaller"
